Designator,Mid X,Mid Y,Rotation,Layer
C1,137.1,-90.6,0.0,top
C2,153.2875,-83.75,90.0,top
C3,173.1725,-95.6,90.0,top
C4,127.842613,-95.55,180.0,top
C5,90.9875,-110.8,270.0,top
C6,94.8375,-110.8,270.0,top
C7,98.2125,-120.8,90.0,top
C8,148.3875,-98.477401,270.0,top
C9,157.714901,-106.55,0.0,top
D1,191.0625,-87.105,0.0,top
D2,191.0875,-92.725,0.0,top
D3,167.4875,-106.35,90.0,top
D4,155.7875,-97.05,0.0,top
D5,152.5625,-111.875,180.0,top
H1,92.4875,-61.8,0.0,top
H2,92.4875,-120.95,0.0,top
H3,190.9875,-61.8,0.0,top
H4,190.9875,-120.95,0.0,top
J1,179.7375,-119.875,180.0,top
J10,204.285,-69.26375,0.0,top
J2,146.3625,-69.925,0.0,top
J3,190.4125,-72.175,90.0,top
J4,131.7125,-120.95,0.0,top
J5,204.2975,-90.91375,90.0,top
J6,105.9175,-121.125,0.0,top
J7,118.5125,-92.995,0.0,top
J8,118.1125,-117.36,0.0,top
J9,204.252,-113.29675,180.0,top
L1,162.4875,-101.35,90.0,top
M1,195.7875,-91.675,0.0,top
M2,195.7875,-116.36,0.0,top
M3,195.7875,-66.85,0.0,top
M4,195.7925,-78.9875,0.0,top
M5,195.7925,-104.2375,0.0,top
Q1,163.3875,-88.55,0.0,top
Q2,136.9375,-105.3,270.0,top
R1,102.825,-86.15,0.0,top
R10,141.5875,-105.35,90.0,top
R12,115.9375,-104.8,90.0,top
R13,120.2875,-104.8,90.0,top
R14,113.1125,-117.3,270.0,top
R15,99.4125,-113.3375,90.0,top
R16,157.6875,-83.35,0.0,top
R17,152.8875,-101.5875,270.0,top
R18,151.325,-105.75,180.0,top
R2,147.925,-85.15,0.0,top
R3,176.8875,-108.05,0.0,top
R4,185.225,-92.675,180.0,top
R5,185.2125,-87.175,180.0,top
R6,102.8625,-82.475,180.0,top
R7,131.525,-106.65,180.0,top
R8,101.8125,-74.425,0.0,top
R9,101.6125,-67.525,0.0,top
SW1,190.2875,-105.875,270.0,top
SW2,94.3375,-82.15,90.0,top
SW3,94.2375,-70.95,270.0,top
SW4,150.5875,-119.3,0.0,top
SW6,165.1375,-119.525,0.0,top
U1,175.0375,-102.85,0.0,top
U2,153.2375,-90.3,270.0,top
U3,130.4,-87.45,270.0,top
U4,156.8375,-101.4125,90.0,top
U5,98.4375,-97.85,90.0,top
U6,110.0925,-111.475,180.0,top
